Date,?,?,bills amount
Jan-20,344,0,344
Feb-20,344,0,344
Mar-20,344,0,344
Apr-20,344,0,344
May-20,344,0,344
Jun-20,344,0,344
Jul-20,344,0,344
Aug-20,404,0,404
Sep-20,404,0,404
Oct-20,404,0,404
Nov-20,404,0,404
Dec-20,404,0,404
Jan-21,404,0,404
Feb-21,404,0,404
Mar-21,404,0,404
Apr-21,404,0,404
May-21,404,0,404
Jun-21,404,0,404
Jul-21,404,0,404
Aug-21,466,0,466
Sep-21,466,0,466
Oct-21,466,0,466
Nov-21,466,0,466
Dec-21,466,0,466
Jan-22,466,0,466
Feb-22,466,0,466
Mar-22,466,0,466
Apr-22,466,0,466
May-22,466,0,466
Jun-22,466,0,466
Jul-22,466,0,466
Aug-22,427,0,427
Sep-22,381.31,638.16,1019.47
Oct-22,244,425,669
Nov-22,244,425,669
Dec-22,244,425,669
Jan-23,244,425,669
Feb-23,244,425,669
Mar-23,244,425,669
Apr-23,244,425,669
May-23,244,425,669
Jun-23,244,425,669
Jul-23,244,425,669
Aug-23,0,139.07,139.07
Sep-23,0,390,390
Oct-23,113.91,390,503.91
Nov-23,188,390,578
Dec-23,188,390,578
Jan-24,188,390,578
Feb-24,188,390,578
Mar-24,188,390,578
Apr-24,188,390,578
May-24,188,390,578
Jun-24,188,390,578
Jul-24,188,390,578
Aug-24,126.41,230.98,357.39
Sep-24,180,371,551
Oct-24,180,371,551
Nov-24,180,371,551
Dec-24,180,371,551
Jan-25,180,371,551
Feb-25,180,371,551
Mar-25,180,371,551
Apr-25,180,371,551
May-25,180,371,551
Jun-25,180,371,551
Jul-25,180,371,551
Aug-25,96.18,371,467.18
Sep-25,171,416,587
Oct-25,171,416,587
